id,avr_age,avr_household_size,avr_education_level,avr_num_cars,avr_health,rented_percent,unemployment_percent,internet_percent,single_percent,married_percent,separated_percent,divorced_percent,widow_percent
267065012,32.96,1.492537313,5.32,0.791044776,4.52173913,70.49180328,14.60674157,73.01587302,70,18,8,3,1
267065005,41.28776978,2.423728814,3.261682243,1.237288136,4.299270073,13.79310345,21.13821138,68.42105263,45.32374101,44.60431655,5.035971223,0.71942446,4.316546763
267065004,31.37234043,3.275862069,4.768181818,1.482758621,4.676470588,12.93103448,5.860805861,90.51724138,49.46808511,45.21276596,3.989361702,0.79787234,0.531914894
267131001,29.93913043,3.1328125,4.208791209,1.484126984,4.633867277,29.26829268,10.14492754,83.47107438,56.95652174,36.52173913,2.391304348,2.608695652,1.52173913
267098001,36.3313783,3.07826087,3.795348837,1.745614035,4.488023952,14.41441441,9.665427509,71.96261682,49.5601173,41.64222874,3.812316716,1.759530792,3.225806452
267098004,35.4567474,3.127659574,2.4,1.35106383,4.328519856,4.444444444,21.84466019,59.13978495,52.94117647,39.10034602,2.422145329,0.692041522,4.844290657
267098005,47.59666667,3.036585366,4.319727891,1.841463415,4.481927711,5.063291139,4.417670683,74.3902439,45,36,4,1,14
267133030,25.94680851,2.253012048,4.835051546,0.807228916,4.463687151,81.70731707,17.68707483,83.95061728,65.95744681,29.25531915,2.127659574,1.595744681,1.063829787
267133019,24.24632353,2.708737864,4.866197183,1.300970874,4.693181818,35.9223301,10.98901099,91.26213592,67.64705882,27.20588235,2.205882353,2.205882353,0.735294118
267133021,23.28301887,3.115942029,5.433962264,1.449275362,4.535,42.64705882,12.87878788,96.96969697,61.79245283,31.60377358,2.830188679,3.773584906,0
267133020,25.49509804,2.524390244,5.146551724,1.390243902,4.7,35.80246914,16.55172414,88.75,64.70588235,30.88235294,0.980392157,2.941176471,0.490196078
267133017,26.72207084,2.847328244,5.143564356,1.312977099,4.51884058,40.15748031,14.70588235,92.74193548,64.85013624,29.15531335,2.452316076,2.72479564,0.817438692
267133026,24.69256757,3.182795699,5.343195266,1.64516129,4.774305556,10.98901099,5.82010582,98.9010989,48.64864865,46.95945946,2.027027027,1.351351351,1.013513514
267133018,25.05298013,2.40625,5.325301205,0.9375,4.586956522,63.93442623,16.37931034,81.96721311,74.17218543,19.86754967,2.649006623,2.649006623,0.662251656
267133023,26.47484277,2.636363636,5.071038251,1.421487603,4.597402597,28.57142857,7.327586207,91.59663866,66.03773585,27.67295597,3.459119497,1.572327044,1.257861635
267133022,26.50549451,2.513513514,5.360759494,1.387387387,4.599236641,31.19266055,9.5,88.88888889,62.63736264,27.83882784,1.831501832,6.95970696,0.732600733
267133024,25.14423077,2.786666667,5.308333333,1.32,4.600985222,32.87671233,15,94.52054795,65.38461538,31.73076923,1.442307692,0.961538462,0.480769231
267133025,24.67576792,2.775700935,5.175757576,1.420560748,4.618374558,17.9245283,10,93.33333333,59.72696246,35.49488055,2.04778157,2.389078498,0.341296928
267133033,30.68341709,3.052631579,3.075555556,0.902255639,4.43622449,17.69230769,20.6779661,79.06976744,66.58291457,23.61809045,3.266331658,2.512562814,4.020100503
267133016,25.67195767,2.589041096,5.367924528,1.246575342,4.608695652,57.53424658,6.993006993,98.5915493,59.25925926,35.44973545,3.174603175,1.587301587,0.529100529
267133015,25.27272727,2.912621359,4.677631579,1.145631068,4.535580524,45.45454545,17.67676768,85.56701031,67.003367,23.90572391,4.713804714,4.04040404,0.336700337
267134010/267134011,30.91363636,3.2,4.465648855,1.666666667,4.64037123,15.44117647,12.57861635,92.53731343,56.59090909,38.18181818,1.363636364,1.590909091,2.272727273
267133013,27.6893617,1.959016393,4.806451613,0.983606557,4.405172414,69.4214876,16.04278075,84.87394958,69.78723404,21.70212766,2.978723404,5.106382979,0.425531915
267133014,27.4795539,2.131782946,5.178807947,1.007751938,4.446640316,66.66666667,14.9321267,88.97637795,59.4795539,31.2267658,4.832713755,4.460966543,0
267133007,23.96825397,3.391304348,5.082926829,1.626086957,4.725543478,15.65217391,10.22222222,93.80530973,56.61375661,37.56613757,2.380952381,2.645502646,0.793650794
267133012,30.51948052,2.146788991,4,0.71559633,4.348017621,10.09174312,24.16107383,71.69811321,67.53246753,19.91341991,4.329004329,4.329004329,3.896103896
267133008,24.75638051,3.532786885,4.963133641,1.745901639,4.64047619,19.83471074,7.251908397,95.68965517,58.93271462,37.12296984,0.928074246,2.552204176,0.464037123
267133005,27.79279279,3.356060606,4.611570248,1.606060606,4.599056604,21.70542636,7.189542484,95.27559055,55.85585586,37.61261261,1.576576577,3.603603604,1.351351351
267133006,25.1557377,3.217948718,5.1,1.512820513,4.681818182,19.48051948,6.962025316,92.20779221,61.8852459,30.73770492,4.918032787,1.229508197,1.229508197
267133009,28.3872679,3.605769231,5.231155779,1.788461538,4.717741935,14.42307692,6.614785992,98.01980198,50.92838196,45.88859416,1.326259947,1.326259947,0.530503979
267158009,32.86965812,2.613636364,3.977272727,1.528409091,4.563596491,7.471264368,11.38888889,74.8502994,62.60683761,31.62393162,2.564102564,1.068376068,2.136752137
267066001,52.19097222,2.636363636,3.18128655,1.75,4.405286344,4.819277108,9.803921569,71.95121951,45.13888889,39.23611111,1.041666667,1.041666667,13.54166667
267133011,27.06692913,3.204819277,4.797385621,1.469879518,4.582329317,38.55421687,12.35955056,92.68292683,64.56692913,30.31496063,2.362204724,1.968503937,0.787401575
267131012,26.68978102,3.819444444,4.455223881,1.680555556,4.715867159,7.042253521,6.832298137,95.65217391,57.29927007,36.13138686,4.01459854,1.459854015,1.094890511
267098003,34.49880668,3.280991736,3.171296296,1.52892562,4.330749354,5.982905983,15.23178808,72.80701754,57.99522673,30.31026253,3.102625298,2.14797136,6.443914081
267133032,27.42702703,2.992125984,3.802325581,0.968503937,4.515151515,19.16666667,20.47244094,81.9047619,67.56756757,24.32432432,3.243243243,2.432432432,2.432432432
267133010,27.2,3.403361345,5.088888889,1.714285714,4.707808564,17.94871795,4.05904059,95.68965517,57.5308642,38.27160494,1.975308642,1.728395062,0.49382716
267133004,32.02230483,3.643835616,4.772151899,1.95890411,4.660305344,7.042253521,5.911330049,95.77464789,55.01858736,40.89219331,1.486988848,0.743494424,1.858736059
267131010,32.36966825,3.294573643,4.119834711,1.697674419,4.607655502,6.299212598,8.609271523,92.96875,51.42180095,41.23222749,3.55450237,1.184834123,2.606635071
267133003,43.26486486,2.690140845,3.976923077,1.690140845,4.372972973,8.450704225,6.578947368,84.50704225,39.45945946,50.27027027,3.243243243,1.621621622,5.405405405
267133028,40.55450237,2.714285714,4.164383562,1.363636364,4.433497537,13.33333333,10.58201058,94.44444444,46.91943128,41.23222749,3.791469194,4.265402844,3.791469194
267131011,26.34496124,3.282051282,4.585185185,1.41025641,4.556862745,38.96103896,13.1147541,92.20779221,62.01550388,31.78294574,2.713178295,2.325581395,1.162790698
267134007/267134025,32.56707317,3.244897959,5.340909091,1.795918367,4.660377358,20.40816327,4.587155963,87.75510204,54.26829268,38.41463415,1.829268293,2.43902439,3.048780488
267133029,38.63598326,2.847058824,4.335403727,1.388235294,4.604255319,10.97560976,8.5,85.18518519,46.86192469,39.74895397,4.60251046,5.020920502,3.765690377
267131009,33.25515464,3.103174603,2.65625,0.952380952,4.444444444,7.37704918,24.90974729,63.86554622,57.21649485,30.41237113,4.12371134,3.865979381,4.381443299
267133002,37.54512635,3.032967033,2.422459893,1.142857143,4.315217391,3.296703297,26.38888889,67.77777778,50.90252708,38.26714801,4.332129964,3.610108303,2.888086643
267134012,32.09309309,2.98245614,4.476851852,1.403508772,4.551204819,28.07017544,7.843137255,87.71929825,58.55855856,33.93393393,2.702702703,2.402402402,2.402402402
267134009,30.96100279,3.032258065,4.414414414,1.508064516,4.648044693,19.67213115,9.057971014,86.17886179,58.49582173,34.26183844,3.064066852,3.621169916,0.557103064
267135011,31.99516908,2.10989011,5.357142857,0.868131868,4.403061224,70,10.38251366,85.39325843,59.42028986,27.53623188,3.8647343,7.246376812,1.93236715
267135004,48.36082474,2.368421053,3.303448276,0.894736842,4.26984127,20,14.01273885,65.27777778,46.90721649,26.80412371,3.092783505,4.639175258,18.55670103
267131006,39.88353414,2.975609756,4.207865169,1.56097561,4.48582996,13.41463415,9.644670051,90.24390244,46.58634538,46.98795181,2.81124498,1.204819277,2.409638554
267131015,24.4352518,3.301204819,4.683870968,1.361445783,4.522222222,46.25,10.27027027,90,64.38848921,29.13669065,2.158273381,2.877697842,1.438848921
267133027,43.73831776,2.905405405,4.373333333,1.680555556,4.537712895,4.895104895,6.14973262,89.36170213,39.48598131,51.86915888,1.635514019,2.102803738,4.906542056
267131014,35.89274448,3.047169811,2.560747664,1.188679245,4.448387097,4.716981132,21.77419355,69.90291262,54.88958991,35.33123028,2.839116719,2.208201893,4.731861199
267131016,25.49270073,3.011111111,5.215686275,1.144444444,4.567669173,52.87356322,18.71657754,87.35632184,62.04379562,31.02189781,2.554744526,2.554744526,1.824817518
267131018,29.20257235,3.556818182,3.963414634,1.613636364,4.622580645,11.36363636,10.42654028,93.18181818,58.19935691,37.94212219,0.643086817,2.572347267,0.643086817
267131020,26.34219269,3.8,3.884353741,1.6625,4.662116041,10,6.349206349,94.93670886,57.47508306,38.53820598,1.661129568,1.661129568,0.664451827
267131021,26.57009346,3.647058824,4.053097345,1.655462185,4.730046948,8.474576271,10.94890511,94.91525424,57.47663551,38.78504673,1.635514019,1.869158879,0.23364486
